Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2025-06-19,LA.PIAZZA,Y,Y,16074585,15661496.9,139398.1,47220
2025-06-19,MKG,Y,Y,642600,636007.48,6592.52,0
2025-06-20,LA.PIAZZA,Y,Y,17787745,16745832.35,156492.65,144880
2025-06-20,MKG,Y,Y,1189796,1179826.67,9969.33,0
2025-06-21,LA.PIAZZA,Y,Y,34092615,33654203.2,287186.8,64600
2025-06-21,MKG,Y,Y,2074931,2060224.54,14706.46,0
2025-06-22,LA.PIAZZA,Y,Y,19414635,18958049.76,184385.24,27200
2025-06-22,MKG,Y,Y,1221792,1211587.65,10204.35,0
2025-06-23,LA.PIAZZA,Y,Y,13099465,12893357.68,149687.32,56420
2025-06-23,MKG,Y,Y,888992,881127.39,7864.61,0
2025-06-24,LA.PIAZZA,Y,Y,11437855,11148003.33,98761.67,101000
2025-06-24,MKG,Y,Y,375111,372485.24,2625.76,0
2025-06-25,LA.PIAZZA,Y,Y,13597565,13138584.72,149180.28,134240
2025-06-25,MKG,Y,Y,689720,684698.32,5021.68,0
2025-06-26,LA.PIAZZA,Y,Y,18100935,17685367.81,153137.19,180440
2025-06-26,MKG,Y,Y,1008590,999576.7,9013.3,0
2025-06-27,LA.PIAZZA,Y,Y,30714935,29597817.63,264187.37,91700
2025-06-27,MKG,Y,Y,1967643,1949018.14,18624.86,0
2025-06-28,LA.PIAZZA,Y,Y,26120790,25421864.58,248370.42,31600
2025-06-28,MKG,Y,Y,1301397,1291894.95,9502.05,0
2025-06-29,LA.PIAZZA,Y,Y,21811145,21453552.48,208362.52,22880
2025-06-29,MKG,Y,Y,1993122,1977192.89,15929.11,0
2025-06-30,LA.PIAZZA,Y,Y,13181450,12758734.59,123450.41,103920
2025-06-30,MKG,Y,Y,572060,568277.93,3782.07,0
2025-07-01,LA.PIAZZA,Y,Y,21289030,20976262.63,192392.37,70180
2025-07-01,MKG,Y,Y,726495,721567.78,4927.22,0
2025-07-02,LA.PIAZZA,Y,Y,16612285,16436210.42,176074.58,0
2025-07-02,MKG,Y,Y,911295,901962.91,9332.09,0
